1A01,6
1A02,7
1A03,3
1A04,6
1A05,6
1A06,9
1A07,3
1A08,11
1A09,4
1A10,7
1B01,8
1B02,40
1B03,5
1B04,9
1B07,1
1B09,5
1B10,2
1B11,3
1B12,41
1C01,9
1C03,29
1C04,3
1C05,1
1C06,6
1C07,47
1C08,1
1D01,2
1D02,2
1D04,16
2A01,4
2A02,9
2A03,9
2A04,6
2A05,3
2A06,22
2A07,12
2A08,13
2B01,20
2B02,37
2B03,11
2B04,9
2B05,53
2B06,64
2B07,17
2B08,13
2B09,9
2C01,140
2C02,4
2C03,28
2D01,1
2D02,5
2E01,3
2E02,10
2E03,17
2E05,61
2E06,12
2E07,2
2E08,2
2F01,5
2F02,13
2F03,8
2F04,1
2F05,28
2F06,11
2F07,4
2F08,7
3B01,1
3B02,20
3B04,3
3C01,17
3C02,8
3C03,3
3C04,18
3C05,7
3C06,2
3C07,4
3C08,2
3C09,3
3D03,1
3D04,2
3D05,13
3D07,1
3D08,5
3D09,1
3D10,1
3E01,8
3E02,4
3E03,14
3E04,8
3E05,3
3F01,4
3F02,5
3F04,1
3F05,4
3F06,4
3G05,3
3G06,7
4A02,2
4A03,2
4A04,3
4A06,2
4A07,1
4B01,6
4B02,2
4B03,3
4B04,1
4B06,3
4B07,1
4B08,6
4B09,1
4C01,2
4C02,3
4C03,4
4C04,6
4C05,5
4C06,2
4C07,7
4C08,4
4C10,4
4D01,13
4D02,2
4D04,5
4D05,2
4D06,5
5A04,1
5A05,1
5A06,1
5A07,1
5A08,3
5B02,1
5B03,1
5B04,5
5B05,8
5C01,1
5C02,10
5C03,1
5C04,11
5C05,4
5C06,2
5C07,6
5D01,19
5D02,3
5D03,4
5D05,3
5D06,6
5D07,2
5E01,2
5E02,3
5E03,7
5E04,2
5E05,4
5E06,7
5E07,7
5E08,2
5E09,2
5E10,2
6A01,16
6A02,7
6A04,1
6A06,15
6A07,4
6A08,6
6B01,25
6B02,19
6B03,15
6B04,13
6B05,2
6B06,9
6B08,1
6B10,2
6C01,1
6C02,31
6C03,1
6C04,14
6C05,5
6C06,13
6D01,7
6D02,7
6D03,1
6D04,16
6D05,2
6D06,4
6D07,1
6E01,7
6E02,9
6E04,10
6E05,8
6E07,1
7B01,2
7B02,1
7B03,5
7B04,1
7B05,1
7B07,1
7C01,2
7C03,1
7C04,2
7C05,2
7C06,2
7C07,2
7D01,3
7D02,1
7D03,2
7D04,3
7D05,1
7D06,5
7E01,2
7E02,2
7E04,1
7E06,1
7E07,1
7F01,5
7F02,1
7F03,1
7F06,3
8A01,2
8A04,1
8A05,3
8A06,6
8A07,1
8B05,1
8B06,2
8C02,4
8C03,4
8C05,2
8C07,1
8D01,1
8D02,1
8D04,5
8D06,1
8D07,2
8E04,1
8E06,2
